School_ID,County_Name,School_Name,School_Lat,School_Long,Store_Name,Store_Lat,Store_Long,Store_Address,Store_PlaceID
103,Clayton County, Callaway Elementary School,33.5368158,-84.3932159,ALDI,33.5965424,-84.4279763,"5820 Riverdale Road, College Park",ChIJxyDTmrD89IgRgrZH3KFM1JQ
103,Clayton County, Callaway Elementary School,33.5368158,-84.3932159,H Mart Riverdale,33.5828934,-84.41264340000001,"6335 Georgia 85, Riverdale",ChIJTfOT55389IgRMdwExIWG6Ho
103,Clayton County, Callaway Elementary School,33.5368158,-84.3932159,ALDI,33.4725516,-84.444543,"1060 Highway 85 North, Fayetteville",ChIJWRZMROfv9IgRIua9mO_7RFA
103,Clayton County, Callaway Elementary School,33.5368158,-84.3932159,Publix Super Market at Mt. Zion,33.5616957,-84.3251349,"2035 Mount Zion Road, Morrow",ChIJAYU2wP379IgRV6JG0RTvF-I
103,Clayton County, Callaway Elementary School,33.5368158,-84.3932159,ALDI,33.5965424,-84.4279763,"5820 Riverdale Road, College Park",ChIJxyDTmrD89IgRgrZH3KFM1JQ
103,Clayton County, Callaway Elementary School,30.8675518,-83.2909011,Publix Super Market at Baytree Village,30.8456768,-83.32284399999999,"1741 Gornto Road, Valdosta",ChIJ35WNwJBm7ogRdT82kQmDWH4
103,Clayton County, Callaway Elementary School,30.8675518,-83.2909011,Family Dollar,30.8367512,-83.317776,"964 Saint Augustine Road, Valdosta",ChIJc4T_1L9m7ogRI7Ht7rcBbC4
103,Clayton County, Callaway Elementary School,30.8675518,-83.2909011,Family Dollar,30.8561498,-83.2802432,"1905 North Ashley Street, Valdosta",ChIJyQ6q_whn7ogRlOmWjkS-eQk
103,Clayton County, Callaway Elementary School,30.8675518,-83.2909011,Publix Super Market at Baytree Village,30.8456768,-83.32284399999999,"1741 Gornto Road, Valdosta",ChIJ35WNwJBm7ogRdT82kQmDWH4
103,Clayton County, Callaway Elementary School,30.8675518,-83.2909011,Family Dollar,30.8367512,-83.317776,"964 Saint Augustine Road, Valdosta",ChIJc4T_1L9m7ogRI7Ht7rcBbC4
103,Clayton County, Callaway Elementary School,30.8675518,-83.2909011,Family Dollar,30.8561498,-83.2802432,"1905 North Ashley Street, Valdosta",ChIJyQ6q_whn7ogRlOmWjkS-eQk
115,Clayton County, Charles R. Drew High School,33.58681380000001,-84.395843,H Mart Riverdale,33.5828934,-84.41264340000001,"6335 Georgia 85, Riverdale",ChIJTfOT55389IgRMdwExIWG6Ho
115,Clayton County, Charles R. Drew High School,33.58681380000001,-84.395843,Family Dollar,33.5811233,-84.4719009,"6385 Old National Highway, Atlanta",ChIJe6LPrILk9IgR-dySV--a3Ls
115,Clayton County, Charles R. Drew High School,33.58681380000001,-84.395843,ALDI,33.5965424,-84.4279763,"5820 Riverdale Road, College Park",ChIJxyDTmrD89IgRgrZH3KFM1JQ
115,Clayton County, Charles R. Drew High School,33.58681380000001,-84.395843,Publix Super Market at Mt. Zion,33.5616957,-84.3251349,"2035 Mount Zion Road, Morrow",ChIJAYU2wP379IgRV6JG0RTvF-I
4050,Clayton County, Church Street Elementary School,33.5634005,-84.4180052,H Mart Riverdale,33.5828934,-84.41264340000001,"6335 Georgia 85, Riverdale",ChIJTfOT55389IgRMdwExIWG6Ho
4050,Clayton County, Church Street Elementary School,33.5634005,-84.4180052,Family Dollar,33.5811233,-84.4719009,"6385 Old National Highway, Atlanta",ChIJe6LPrILk9IgR-dySV--a3Ls
4050,Clayton County, Church Street Elementary School,33.5634005,-84.4180052,ALDI,33.5965424,-84.4279763,"5820 Riverdale Road, College Park",ChIJxyDTmrD89IgRgrZH3KFM1JQ
4050,Clayton County, Church Street Elementary School,33.5634005,-84.4180052,Publix Super Market at Mt. Zion,33.5616957,-84.3251349,"2035 Mount Zion Road, Morrow",ChIJAYU2wP379IgRV6JG0RTvF-I
1052,Clayton County, East Clayton Elementary School,33.616623,-84.27010020000002,ALDI,33.55104550000001,-84.2550409,"5420 North Henry Boulevard, Stockbridge",ChIJ0zKb7T1W9IgR1wzlIeh8LC0
1052,Clayton County, East Clayton Elementary School,33.616623,-84.27010020000002,ALDI,33.6814879,-84.2280176,"4900 Flat Shoals Parkway, Decatur",ChIJB_5hgCCr9YgRkD2cQGvirH8
1052,Clayton County, East Clayton Elementary School,33.616623,-84.27010020000002,Publix Super Market at Mt. Zion,33.5616957,-84.3251349,"2035 Mount Zion Road, Morrow",ChIJAYU2wP379IgRV6JG0RTvF-I
1052,Clayton County, East Clayton Elementary School,33.616623,-84.27010020000002,Publix Super Market at Stockbridge Lakes,33.55506739999999,-84.2324064,"250 East Atlanta Road, Stockbridge",ChIJd1hQSGFW9IgRLD-0eqjpcbA
