County_ID,County_Name,School_ID,School_Name,Percent_FRL,Address,City,State,ZipCode,Latitude,Longitude
703,Montgomery County,107, Montgomery County Elementary School,94.82,900 Martin Luther King Dr,Ailey,GA,30410,33.5644337,-84.3868116
703,Montgomery County,107, Montgomery County Elementary School,94.82,900 Martin Luther King Dr,Ailey,GA,30410,32.1938797,-82.57994649999999
703,Montgomery County,107, Montgomery County Elementary School,94.82,900 Martin Luther King Dr,Ailey,GA,30410,32.1938797,-82.57994649999999
703,Montgomery County,201, Montgomery County High School,94.7,100 Faye D Brewer Street,Mount Vernon,GA,30445,32.7248029,-82.728392
703,Montgomery County,201, Montgomery County High School,94.7,100 Faye D Brewer Street,Mount Vernon,GA,30445,32.7248029,-82.728392
703,Montgomery County,201, Montgomery County High School,94.7,100 Faye D Brewer Street,Mount Vernon,GA,30445,32.1785145,-82.5945783
703,Montgomery County,201, Montgomery County High School,94.7,100 Faye D Brewer Street,Mount Vernon,GA,30445,32.1785145,-82.5945783
792,Lowndes County,106, J. L. Lomax Elementary School,94.61,1450 Howell Rd,Valdosta,GA,31601,33.520308,-84.3485359
792,Lowndes County,106, J. L. Lomax Elementary School,94.61,1450 Howell Rd,Valdosta,GA,31601,33.520308,-84.3485359
792,Lowndes County,106, J. L. Lomax Elementary School,94.61,1450 Howell Rd,Valdosta,GA,31601,30.8227409,-83.23462409999999
792,Lowndes County,106, J. L. Lomax Elementary School,94.61,1450 Howell Rd,Valdosta,GA,31601,30.8227409,-83.23462409999999
792,Lowndes County,195, Newbern Middle School,94.67,2015 E Park Ave,Valdosta,GA,31602,33.4200186,-84.3896341
792,Lowndes County,195, Newbern Middle School,94.67,2015 E Park Ave,Valdosta,GA,31602,33.4200186,-84.3896341
792,Lowndes County,195, Newbern Middle School,94.67,2015 E Park Ave,Valdosta,GA,31602,30.8672948,-83.2507262
792,Lowndes County,195, Newbern Middle School,94.67,2015 E Park Ave,Valdosta,GA,31602,30.8672948,-83.2507262
792,Lowndes County,117, Pinevale Elementary School,94.58,930 Lake Park Rd,Valdosta,GA,31601,33.5941595,-84.3197718
792,Lowndes County,117, Pinevale Elementary School,94.58,930 Lake Park Rd,Valdosta,GA,31601,33.5941595,-84.3197718
792,Lowndes County,117, Pinevale Elementary School,94.58,930 Lake Park Rd,Valdosta,GA,31601,30.8252737,-83.26782759999999
792,Lowndes County,117, Pinevale Elementary School,94.58,930 Lake Park Rd,Valdosta,GA,31601,30.8252737,-83.26782759999999
792,Lowndes County,309, S.L. Mason Elementary School,94.69,821 W Gordon St,Valdosta,GA,31601,30.8369222,-83.2978382
792,Lowndes County,101, Sallas Mahone Elementary,94.66,3686 Lake Laurie Dr,Valdosta,GA,31605,32.7249915,-82.7290474
792,Lowndes County,101, Sallas Mahone Elementary,94.66,3686 Lake Laurie Dr,Valdosta,GA,31605,32.7249915,-82.7290474
